"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
BEACH CITIES HEALTH DISTRICT,177699188,REDONDO BEACH,CA,902773039,LOS ANGELES,United States of America,Hospital,City Government,"$105,000 "
"NORTH COUNTY HEALTH PROJECT, INC.",78743820,SAN MARCOS,CA,920692973,SAN DIEGO,United States of America,Other Health Organization,County Government,"$13,064,524 "
OMNI FAMILY HEALTH,93997062,BAKERSFIELD,CA,933097081,KERN,United States of America,Hospital,City Government,"$14,566,898 "
Kern County Public Health Services Dept,828540695,BAKERSFIELD,CA,93306,KERN,United States of America,Health Department,County Government,"($139,668)"
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,99446254,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$13,733,247 "
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,624882309,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$445,106,607 "
LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,104277942,LOS ANGELES,CA,90057,LOS ANGELES,United States of America,Health Department,County Government,$0 
LOS ANGELES COUNTY DEPT OF HEALTH SERVICES,624882309,LOS ANGELES,CA,90012,LOS ANGELES,United States of America,Hospital,County Government,"$741,071 "
"Riverside, County of",117023953,Riverside,CA,925033410,RIVERSIDE,United States of America,Health Department,County Government,"$2,353,139 "
SAN DIEGO COUNTY MENTAL HEALTH SERVICES,144733115,SAN DIEGO,CA,92103,SAN DIEGO,United States of America,Other Health Organization,County Government,"$3,085,228 "
SAN DIEGO COUNTY DEPARTMENT OF HEALTH SERVICES,144733115,SAN DIEGO,CA,92123,SAN DIEGO,United States of America,Health Department,County Government,"$15,354,435 "
SAN LUIS OBISPO COUNTY HEALTH AGENCY,140037164,SAN LUIS OBISPO,CA,934014513,SAN LUIS OBISPO,United States of America,Health Department,County Government,"$374,716 "
VENTURA COUNTY HEALTH SERVICES AGENCY,66691122,VENTURA,CA,93003,VENTURA,United States of America,Other Health Organization,County Government,"$7,164,148 "
Ventura County Behavioral Health,66691122,OXNARD,CA,930360673,VENTURA,United States of America,Other Health Organization,County Government,$0 
SAN BERNARDINO COUNTY DEPARTMENT OF PUBLIC HEALTH,106376861,SAN BERNARDINO,CA,92415,SAN BERNARDINO,United States of America,Health Department,County Government,"$12,387,989 "
"CITY OF SANTA BARBARA, HEALTH CARE SERVICES",131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Other Health Organization,City Government,"$387,823 "
SANTA BARBARA COUNTY PUBLIC HEALTH DEPT.,131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Health Department,County Government,"$3,778,092 "
AS DEPARTMENT OF MEDICAL SERVICES,854993854,PAGO PAGO,AS,96799,,USA Related Territories,Other Health Organization,State Government,"$20,000 "
AS DEPARTMENT OF HEALTH,854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$14,701,779 "
"AS DEPARTMENT OF HEALTH, PUBLIC HEALTH DIVISION",854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$374,910 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,778904292,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$36,442,870 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,855028700,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$16,252,267 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,778904292,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$1,520,782 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,855031402,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$618,471 "
GU DEPARTMENT OF MENTAL HEALTH & SUBSTANCE ABUSE,778904292,TAMUNING,GU,96911,AGANA,USA Related Territories,Health Department,State Government,$0 
"GU DEPT OF PUBLIC HLTH & SOCIAL SVCS, PUBLIC HEALTH DIV",778904292,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,$0 
GU Dept of Behavioral Health and Wellness Center,778904292,TAMUNING,GU,96913,AGANA,USA Related Territories,Health Department,State Government,"$351,279 "
GU Dept of Behavioral Health and Wellness Center,855031402,TAMUNING,GU,96913,AGANA,USA Related Territories,Health Department,State Government,"$1,416,560 "
"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",854812984,PALIKIR POHNPEI,FM,96941,PONAPE,USA Related Territories,Health Department,State Government,"$15,174,719 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854861283,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$897,165 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854862633,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$12,101,101 "
LBJ TROPICAL MED/MEDICAID,854996639,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$109,048,725 "
"National Institute of Health, Mozambique",850487292,MAPUTO,Other,264,,Mozambique,Health Department,State Government,"$4,673,883 "
FORSCHERGRUPPE DIABETES E.V.,319649778,NEUHERBERG/OBERSCHLEI?HEIM,Other,85764,,,Other Health Organization,State Government,"$261,921 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854586119,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$5,750 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$75,270,462 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854858560,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,$0 
"CM DIV OF VOC REHAB, DEPT OF PUBLIC HLTH & ENVIR SVCS",854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"($46,395)"
Ho`ola Lahui Hawaii,809155005,LIHUE,HI,96766,KAUAI,United States of America,Hospital,State Government,"$3,067,651 "
HI ST DEPARTMENT OF HEALTH,79795311,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"($506,234)"
HI ST DEPARTMENT OF HEALTH,90266185,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$26,640,816 "
HI ST DEPARTMENT OF HEALTH,136572513,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$6,707,780 "
HI ST DEPARTMENT OF HEALTH,610006140,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$187,206 "
HI ST DEPARTMENT OF HEALTH,783611122,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$4,393,681 "
HI ST DEPARTMENT OF HEALTH,809935679,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$93,435,722 "
HI ST DEPARTMENT OF HEALTH,90266185,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$2,988,741 "
HI ST DEPARTMENT OF HEALTH,783611122,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"($2,000,000)"
HI ST DEPARTMENT OF HEALTH,809935679,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$6,331,141 "
"Exported on 04/17/2021 from the HHS Tracking Accountability in Government Grants System (TAGGS), http://taggs.hhs.gov",,,,,,,,,
