"TAGGS Recipient Search Export
Data Fiscal Year = 2019; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
"AS DEPARTMENT OF HEALTH, PUBLIC HEALTH DIVISION",854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$284,100 "
"GU DEPARTMENT OF PUBLIC HEALTH, DIVISION OF MENTAL HLTH",855028700,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,"($436,880)"
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,778904292,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$23,059,088 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,855028700,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$5,536,281 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,778904292,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$1,997,735 "
GU DEPARTMENT OF MENTAL HEALTH & SUBSTANCE ABUSE,778904292,TAMUNING,GU,96911,AGANA,USA Related Territories,Health Department,State Government,"$50,000 "
"GU DEPT OF PUBLIC HLTH & SOCIAL SVCS, PUBLIC HEALTH DIV",778904292,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,$0 
GU Dept of Behavioral Health and Wellness Center,778904292,TAMUNING,GU,96913,AGANA,USA Related Territories,Health Department,State Government,"$346,964 "
GU Dept of Behavioral Health and Wellness Center,855031402,TAMUNING,GU,96913,AGANA,USA Related Territories,Health Department,State Government,"$1,283,280 "
"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",854812984,PALIKIR POHNPEI,FM,96941,PONAPE,USA Related Territories,Health Department,State Government,"$7,705,872 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854861283,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$485,666 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854862633,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$4,289,350 "
LBJ TROPICAL MED/MEDICAID,854996639,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$155,879,999 "
"National Institute of Health, Mozambique",850487292,MAPUTO,Other,264,,Mozambique,Health Department,State Government,"$4,980,942 "
FORSCHERGRUPPE DIABETES E.V.,319649778,NEUHERBERG/OBERSCHLEI?HEIM,Other,85764,,,Other Health Organization,State Government,"$305,573 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854586119,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$5,720 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$57,086,736 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854858560,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$996,216 "
"CM DIV OF VOC REHAB, DEPT OF PUBLIC HLTH & ENVIR SVCS",854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"($44,508)"
Ho`ola Lahui Hawaii,809155005,LIHUE,HI,96766,KAUAI,United States of America,Hospital,State Government,"$2,853,366 "
HI ST DEPARTMENT OF HEALTH,90266185,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$13,175,350 "
HI ST DEPARTMENT OF HEALTH,136572513,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$4,873,235 "
HI ST DEPARTMENT OF HEALTH,610006140,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$238,913 "
HI ST DEPARTMENT OF HEALTH,783611122,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$4,172,722 "
HI ST DEPARTMENT OF HEALTH,809935679,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$24,830,698 "
HI ST DEPARTMENT OF HEALTH,90266185,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$9,542,072 "
HI ST DEPARTMENT OF HEALTH,783611122,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$1,978,925 "
HI ST DEPARTMENT OF HEALTH,809935679,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$5,237,294 "
"Exported on 04/17/2021 from the HHS Tracking Accountability in Government Grants System (TAGGS), http://taggs.hhs.gov",,,,,,,,,
