,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
Ho`ola Lahui Hawaii,809155005,LIHUE,HI,96766,KAUAI,United States of America,Hospital,State Government,"$2,305,752 "
HAWAII STATE HOSPITAL,809935679,KANEOHE,HI,967443528,HONOLULU,United States of America,Hospital,State Government,$0 
HI ST DEPARTMENT OF HEALTH,79795311,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$600,000 "
HI ST DEPARTMENT OF HEALTH,90266185,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$11,561,722 "
HI ST DEPARTMENT OF HEALTH,136572513,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$5,463,439 "
HI ST DEPARTMENT OF HEALTH,610006140,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$192,669 "
HI ST DEPARTMENT OF HEALTH,783611122,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$391,597 "
HI ST DEPARTMENT OF HEALTH,809935679,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$25,867,603 "
HI ST DEPARTMENT OF HEALTH,783611122,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$2,157,300 "
HI ST DEPARTMENT OF HEALTH,809935679,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$10,847,676 "
"Exported on 04/17/2021 from the HHS Tracking Accountability in Government Grants System (TAGGS), http://taggs.hhs.gov",,,,,,,,,
